2024/08/26 03:17:19 PM > ep 112 done. total_steps=10050 | reward=-4 | episode_steps=96 | hours=0.044 | epsilon=0.645
2024/08/26 03:17:21 PM > ep 113 done. total_steps=10169 | reward=19 | episode_steps=119 | hours=0.044 | epsilon=0.641
2024/08/26 03:17:22 PM > ep 114 done. total_steps=10262 | reward=-7 | episode_steps=93 | hours=0.045 | epsilon=0.639
2024/08/26 03:17:23 PM > ep 115 done. total_steps=10337 | reward=-25 | episode_steps=75 | hours=0.045 | epsilon=0.637
2024/08/26 03:17:24 PM > ep 116 done. total_steps=10404 | reward=-33 | episode_steps=67 | hours=0.045 | epsilon=0.635
2024/08/26 03:17:26 PM > ep 117 done. total_steps=10505 | reward=1 | episode_steps=101 | hours=0.046 | epsilon=0.632
2024/08/26 03:17:27 PM > ep 118 done. total_steps=10582 | reward=-23 | episode_steps=77 | hours=0.046 | epsilon=0.630
2024/08/26 03:17:29 PM > ep 119 done. total_steps=10711 | reward=29 | episode_steps=129 | hours=0.046 | epsilon=0.627
2024/08/26 03:17:31 PM > ep 120 done. total_steps=10850 | reward=39 | episode_steps=139 | hours=0.047 | epsilon=0.623
2024/08/26 03:17:32 PM > ep 121 done. total_steps=10937 | reward=-13 | episode_steps=87 | hours=0.047 | epsilon=0.621
2024/08/26 03:17:33 PM > ep 122 done. total_steps=10978 | reward=-59 | episode_steps=41 | hours=0.048 | epsilon=0.620
2024/08/26 03:17:34 PM > ep 123 done. total_steps=11052 | reward=-26 | episode_steps=74 | hours=0.048 | epsilon=0.618
2024/08/26 03:17:36 PM > ep 124 done. total_steps=11148 | reward=-4 | episode_steps=96 | hours=0.048 | epsilon=0.615
2024/08/26 03:17:37 PM > ep 125 done. total_steps=11265 | reward=17 | episode_steps=117 | hours=0.049 | epsilon=0.612
2024/08/26 03:17:39 PM > ep 126 done. total_steps=11370 | reward=5 | episode_steps=105 | hours=0.049 | epsilon=0.610
2024/08/26 03:17:40 PM > ep 127 done. total_steps=11444 | reward=-26 | episode_steps=74 | hours=0.050 | epsilon=0.608
2024/08/26 03:17:42 PM > ep 128 done. total_steps=11564 | reward=20 | episode_steps=120 | hours=0.050 | epsilon=0.605
2024/08/26 03:17:44 PM > ep 129 done. total_steps=11666 | reward=2 | episode_steps=102 | hours=0.051 | epsilon=0.602
2024/08/26 03:17:45 PM > ep 130 done. total_steps=11745 | reward=-21 | episode_steps=79 | hours=0.051 | epsilon=0.600
2024/08/26 03:17:47 PM > ep 131 done. total_steps=11842 | reward=-3 | episode_steps=97 | hours=0.051 | epsilon=0.598
2024/08/26 03:17:48 PM > ep 132 done. total_steps=11955 | reward=13 | episode_steps=113 | hours=0.052 | epsilon=0.595
2024/08/26 03:17:50 PM > ep 133 done. total_steps=12069 | reward=14 | episode_steps=114 | hours=0.052 | epsilon=0.592
2024/08/26 03:17:52 PM > ep 134 done. total_steps=12176 | reward=7 | episode_steps=107 | hours=0.053 | epsilon=0.590
2024/08/26 03:17:54 PM > ep 135 done. total_steps=12290 | reward=14 | episode_steps=114 | hours=0.053 | epsilon=0.587
2024/08/26 03:17:55 PM > ep 136 done. total_steps=12399 | reward=9 | episode_steps=109 | hours=0.054 | epsilon=0.584
2024/08/26 03:17:57 PM > ep 137 done. total_steps=12492 | reward=-7 | episode_steps=93 | hours=0.054 | epsilon=0.582
2024/08/26 03:17:58 PM > ep 138 done. total_steps=12595 | reward=3 | episode_steps=103 | hours=0.055 | epsilon=0.579
2024/08/26 03:18:00 PM > ep 139 done. total_steps=12726 | reward=31 | episode_steps=131 | hours=0.055 | epsilon=0.576
