2024/08/24 04:25:57 PM > ep 168 done. total_steps=14835 | reward=-8 | episode_steps=93 | hours=0.037 | epsilon=0.529
2024/08/24 04:25:58 PM > ep 169 done. total_steps=14927 | reward=-9 | episode_steps=92 | hours=0.037 | epsilon=0.527
2024/08/24 04:25:59 PM > ep 170 done. total_steps=15022 | reward=-6 | episode_steps=95 | hours=0.038 | epsilon=0.525
2024/08/24 04:25:59 PM > ep 171 done. total_steps=15108 | reward=-15 | episode_steps=86 | hours=0.038 | epsilon=0.523
2024/08/24 04:26:00 PM > ep 172 done. total_steps=15229 | reward=20 | episode_steps=121 | hours=0.038 | epsilon=0.520
2024/08/24 04:26:01 PM > ep 173 done. total_steps=15323 | reward=-7 | episode_steps=94 | hours=0.038 | epsilon=0.518
2024/08/24 04:26:03 PM > ep 174 done. total_steps=15461 | reward=37 | episode_steps=138 | hours=0.039 | epsilon=0.515
2024/08/24 04:26:03 PM > ep 175 done. total_steps=15545 | reward=-17 | episode_steps=84 | hours=0.039 | epsilon=0.514
2024/08/24 04:26:04 PM > ep 176 done. total_steps=15612 | reward=-34 | episode_steps=67 | hours=0.039 | epsilon=0.512
2024/08/24 04:26:05 PM > ep 177 done. total_steps=15701 | reward=-12 | episode_steps=89 | hours=0.039 | epsilon=0.511
2024/08/24 04:26:06 PM > ep 178 done. total_steps=15816 | reward=14 | episode_steps=115 | hours=0.040 | epsilon=0.508
2024/08/24 04:26:07 PM > ep 179 done. total_steps=15914 | reward=-3 | episode_steps=98 | hours=0.040 | epsilon=0.506
2024/08/24 04:26:08 PM > ep 180 done. total_steps=16012 | reward=-3 | episode_steps=98 | hours=0.040 | epsilon=0.504
2024/08/24 04:26:09 PM > ep 181 done. total_steps=16135 | reward=22 | episode_steps=123 | hours=0.040 | epsilon=0.502
2024/08/24 04:26:10 PM > ep 182 done. total_steps=16278 | reward=42 | episode_steps=143 | hours=0.041 | epsilon=0.499
2024/08/24 04:26:11 PM > ep 183 done. total_steps=16375 | reward=-4 | episode_steps=97 | hours=0.041 | epsilon=0.497
2024/08/24 04:26:12 PM > ep 184 done. total_steps=16493 | reward=17 | episode_steps=118 | hours=0.041 | epsilon=0.495
2024/08/24 04:26:13 PM > ep 185 done. total_steps=16613 | reward=19 | episode_steps=120 | hours=0.042 | epsilon=0.492
2024/08/24 04:26:14 PM > ep 186 done. total_steps=16690 | reward=-24 | episode_steps=77 | hours=0.042 | epsilon=0.491
2024/08/24 04:26:15 PM > ep 187 done. total_steps=16786 | reward=-5 | episode_steps=96 | hours=0.042 | epsilon=0.489
2024/08/24 04:26:16 PM > ep 188 done. total_steps=16914 | reward=27 | episode_steps=128 | hours=0.042 | epsilon=0.486
2024/08/24 04:26:17 PM > ep 189 done. total_steps=17012 | reward=-3 | episode_steps=98 | hours=0.043 | epsilon=0.484
2024/08/24 04:26:18 PM > ep 190 done. total_steps=17151 | reward=38 | episode_steps=139 | hours=0.043 | epsilon=0.482
2024/08/24 04:26:19 PM > ep 191 done. total_steps=17260 | reward=8 | episode_steps=109 | hours=0.043 | epsilon=0.480
2024/08/24 04:26:20 PM > ep 192 done. total_steps=17357 | reward=-4 | episode_steps=97 | hours=0.043 | epsilon=0.478
2024/08/24 04:26:20 PM > ep 193 done. total_steps=17428 | reward=-30 | episode_steps=71 | hours=0.044 | epsilon=0.477
2024/08/24 04:26:21 PM > ep 194 done. total_steps=17512 | reward=-17 | episode_steps=84 | hours=0.044 | epsilon=0.475
2024/08/24 04:26:22 PM > ep 195 done. total_steps=17591 | reward=-22 | episode_steps=79 | hours=0.044 | epsilon=0.473
2024/08/24 04:26:23 PM > ep 196 done. total_steps=17687 | reward=-5 | episode_steps=96 | hours=0.044 | epsilon=0.472
2024/08/24 04:26:24 PM > ep 197 done. total_steps=17788 | reward=0 | episode_steps=101 | hours=0.045 | epsilon=0.470
2024/08/24 04:26:25 PM > ep 198 done. total_steps=17893 | reward=4 | episode_steps=105 | hours=0.045 | epsilon=0.468
2024/08/24 04:26:26 PM > ep 199 done. total_steps=17976 | reward=-18 | episode_steps=83 | hours=0.045 | epsilon=0.466
2024/08/24 04:26:26 PM > ep 200 done. total_steps=18054 | reward=-23 | episode_steps=78 | hours=0.045 | epsilon=0.465
2024/08/24 04:26:27 PM > ep 201 done. total_steps=18144 | reward=-11 | episode_steps=90 | hours=0.045 | epsilon=0.463
2024/08/24 04:26:28 PM > ep 202 done. total_steps=18244 | reward=-1 | episode_steps=100 | hours=0.046 | epsilon=0.461
2024/08/24 04:26:29 PM > ep 203 done. total_steps=18330 | reward=-15 | episode_steps=86 | hours=0.046 | epsilon=0.460
